student_id,name,course,attendance,previous_score,study_hours,grade_percent,grade_letter,pass_fail,predicted_pass_fail,predicted_is_weak
STD000552,Priya Iyer,BSc - Chemistry,72.8,77.8,1.0,41.0,F,Fail,Fail,1
STD000561,Anjali Nair,BSc - Biology,57.0,75.7,2.0,81.0,F,Fail,Fail,1
STD000572,Diya Jain,BSc - Biology,58.0,57.2,2.0,88.0,F,Fail,Fail,1
STD000577,Rohan Reddy,BTech - CSE,65.8,89.5,0.3,41.0,F,Fail,Fail,1
STD000579,Vikram Menon,BTech - ECE,71.8,68.5,2.8,43.0,F,Fail,Fail,1
STD000590,Karthik Shetty,BBA - Human Resource,56.7,100.0,0.3,57.0,F,Fail,Fail,1
STD000600,Amrita Naidu,BSc - Chemistry,69.2,79.0,3.3,43.0,F,Fail,Fail,1
STD000601,Vikram Jain,BSc - Biology,76.6,84.4,2.1,48.0,F,Fail,Fail,1
STD000610,Karthik Sharma,BTech - ECE,58.0,86.9,1.9,97.0,F,Fail,Fail,1
STD000626,Rohan Singh,BSc - Physics,93.1,53.7,0.0,44.0,F,Fail,Fail,1
STD000638,Priya Gupta,BSc - Chemistry,71.4,80.1,4.0,48.0,F,Fail,Fail,1
STD000647,Harsh Shetty,BSc - Biology,57.9,84.4,1.8,87.0,F,Fail,Fail,1
STD000651,Vivaan Iyer,BTech - EEE,74.3,94.3,3.8,48.0,F,Fail,Fail,1
STD000683,Raghav Jain,BTech - EEE,56.8,80.2,2.4,100.0,F,Fail,Fail,1
STD000684,Sneha Jain,BBA - Finance,85.8,75.2,0.0,45.0,F,Fail,Fail,1
STD000708,Isha Das,BTech - IT,58.2,70.7,0.0,85.0,F,Fail,Fail,1
STD000721,Sana Rao,BBA - Marketing,55.6,59.4,1.2,59.0,F,Fail,Fail,1
STD000726,Rohan Jain,BTech - EEE,59.4,79.0,4.4,66.0,F,Fail,Fail,1
STD000737,Priya Patel,BBA - Human Resource,77.9,72.7,3.7,42.0,F,Fail,Fail,1
STD000748,Anjali Singh,BCA - Data Science,59.6,50.9,0.7,60.0,F,Fail,Fail,1
STD000762,Vivaan Sharma,BTech - EEE,58.6,47.5,2.5,71.0,F,Fail,Fail,1
STD000782,Arjun Naidu,BBA - Finance,59.0,49.3,1.8,41.0,F,Fail,Fail,1
STD000788,Priya Das,BTech - CSE,73.0,66.6,4.2,50.0,F,Fail,Fail,1
STD000795,Priya Yadav,BSc - Mathematics,55.4,67.4,2.7,75.0,F,Fail,Fail,1
STD000796,Meera Jain,BCA - Software Engineering,86.0,55.8,3.9,40.0,F,Fail,Fail,1
STD000826,Anjali Nair,BSc - Computer Science,64.5,84.7,0.4,44.0,F,Fail,Fail,1
STD000827,Sana Das,BTech - EEE,66.6,82.6,1.4,48.0,F,Fail,Fail,1
STD000835,Vikram Naidu,BTech - IT,72.4,74.3,1.8,40.0,F,Fail,Fail,1
STD000838,Rohan Jain,BBA - Finance,56.0,83.0,0.6,56.0,F,Fail,Fail,1
STD000840,Ritika Sharma,BBA - Finance,62.7,62.8,2.2,48.0,F,Fail,Fail,1
STD000855,Diya Gupta,BA - Psychology,68.8,91.9,0.8,48.0,F,Fail,Fail,1
STD000868,Diya Verma,BTech - CSE,69.4,100.0,1.3,40.0,F,Fail,Fail,1
STD000872,Arjun Naidu,BCA - Cyber Security,68.3,77.1,2.6,50.0,F,Fail,Fail,1
STD000873,Sana Yadav,BTech - CSE,65.6,59.4,3.2,42.0,F,Fail,Fail,1
STD000875,Karthik Verma,BSc - Chemistry,72.1,99.5,0.7,44.0,F,Fail,Fail,1
STD000881,Aditya Naidu,BBA - Marketing,82.4,63.0,2.9,47.0,F,Fail,Fail,1
STD000889,Diya Das,BBA - Human Resource,69.7,90.3,2.9,47.0,F,Fail,Fail,1
STD000895,Pooja Reddy,BA - English Literature,62.8,51.9,2.5,52.0,F,Fail,Fail,1
STD000902,Sana Verma,BTech - IT,58.3,85.7,0.2,96.0,F,Fail,Fail,1
STD000903,Neha Rathod,BSc - Computer Science,74.2,79.7,2.9,42.0,F,Fail,Fail,1
STD000906,Harsh Naidu,BBA - Human Resource,71.1,68.2,1.8,46.0,F,Fail,Fail,1
STD000915,Neha Reddy,BSc - Computer Science,66.8,100.0,2.8,42.0,F,Fail,Fail,1
STD000918,Karthik Jain,BTech - CSE,48.3,81.8,2.1,77.0,F,Fail,Fail,1
STD000920,Sana Nair,BTech - Mechanical,79.6,90.6,0.7,46.0,F,Fail,Fail,1
STD000923,Aditya Chopra,BSc - Mathematics,57.7,69.0,3.2,82.0,F,Fail,Fail,1
STD000924,Ritika Chopra,BA - Economics,66.6,65.3,1.4,51.0,F,Fail,Fail,1
STD000932,Vivaan Das,BTech - CSE,59.6,98.4,3.4,72.0,F,Fail,Fail,1
STD000935,Sahil Naidu,BBA - Marketing,48.7,74.1,2.2,85.0,F,Fail,Fail,1
STD000945,Harsh Chopra,BA - Economics,88.7,67.8,0.5,42.0,F,Fail,Fail,1
STD000960,Aditya Shetty,BTech - ECE,94.4,74.9,1.0,44.0,F,Fail,Fail,1
STD000971,Shreya Shetty,BTech - ECE,80.6,50.3,0.0,48.0,F,Fail,Fail,1
STD000978,Diya Verma,BTech - IT,53.7,76.9,1.5,92.0,F,Fail,Fail,1
STD000980,Sneha Sharma,BCA - Cyber Security,98.6,50.9,2.5,40.0,F,Fail,Fail,1
STD000983,Harsh Rao,BTech - CSE,78.3,88.2,1.5,48.0,F,Fail,Fail,1
STD001005,Ananya Jain,BTech - ECE,67.7,81.8,0.6,40.0,F,Fail,Fail,1
STD001014,Sana Gupta,BBA - Human Resource,62.2,57.4,4.6,43.0,F,Fail,Fail,1
STD001021,Ananya Rathod,BCA - Data Science,85.4,60.4,2.5,45.0,F,Fail,Fail,1
STD001025,Pooja Shetty,BSc - Biology,62.6,64.2,1.7,44.0,F,Fail,Fail,1
STD001029,Diya Naidu,BTech - IT,59.6,83.0,2.0,46.0,F,Fail,Fail,1
STD001042,Diya Gupta,BTech - Mechanical,84.4,64.9,2.1,45.0,F,Fail,Fail,1
STD001050,Arjun Patel,BTech - ECE,97.8,64.8,0.6,41.0,F,Fail,Fail,1
STD001054,Harsh Iyer,BBA - Finance,50.7,66.1,3.5,81.0,F,Fail,Fail,1
STD001063,Arjun Bose,BTech - CSE,59.7,100.0,2.0,69.0,F,Fail,Fail,1
STD001065,Kiran Naidu,BTech - ECE,70.5,42.9,2.8,47.0,F,Fail,Fail,1
STD001067,Arjun Reddy,BTech - CSE,51.3,64.3,2.3,61.0,F,Fail,Fail,1
STD001077,Neha Bose,BTech - EEE,53.7,59.2,2.5,74.0,F,Fail,Fail,1
STD001087,Sneha Das,BTech - CSE,71.7,81.1,3.8,40.0,F,Fail,Fail,1
STD001088,Shreya Das,BTech - IT,82.3,74.8,1.7,46.0,F,Fail,Fail,1
STD001094,Vivaan Patel,BSc - Chemistry,51.7,77.9,0.0,63.0,F,Fail,Fail,1
STD001098,Anjali Iyer,BSc - Computer Science,57.3,95.3,2.1,42.0,F,Fail,Fail,1
STD001106,Neha Chopra,BSc - Mathematics,66.4,90.5,2.0,43.0,F,Fail,Fail,1
STD001115,Varun Khan,BSc - Computer Science,64.5,70.4,0.9,55.0,F,Fail,Fail,1
STD001132,Anjali Jain,BTech - Mechanical,52.1,81.2,1.2,68.0,F,Fail,Fail,1
STD001135,Harsh Reddy,BTech - EEE,93.1,85.6,4.3,44.0,F,Fail,Fail,1
STD001139,Sana Shetty,BTech - Mechanical,98.3,48.0,0.0,41.0,F,Fail,Fail,1
STD001168,Priya Yadav,BCA - Data Science,90.4,60.7,3.3,44.0,F,Fail,Fail,1
STD001177,Priya Gupta,BSc - Chemistry,65.3,62.4,6.0,50.0,F,Fail,Fail,1
STD001189,Amit Patel,BCA - Data Science,72.8,59.8,0.5,45.0,F,Fail,Fail,1
STD001195,Vikram Naidu,BTech - CSE,50.1,88.7,0.0,55.0,F,Fail,Fail,1
STD001221,Kiran Jain,BTech - EEE,75.7,63.3,2.7,49.0,F,Fail,Fail,1
STD001232,Meera Bose,BBA - Marketing,54.3,71.4,0.2,52.0,F,Fail,Fail,1
STD001234,Rohan Reddy,BTech - CSE,59.7,99.4,2.7,69.0,F,Fail,Fail,1
STD001238,Varun Nair,BSc - Physics,59.1,60.0,0.7,81.0,F,Fail,Fail,1
STD001245,Arjun Bose,BTech - Mechanical,67.4,46.7,2.6,48.0,F,Fail,Fail,1
STD001247,Shreya Shetty,BBA - Human Resource,55.2,59.5,1.5,95.0,F,Fail,Fail,1
STD001263,Varun Patel,BTech - CSE,59.5,64.2,2.2,100.0,F,Fail,Fail,1
STD001284,Sahil Patel,BSc - Chemistry,49.5,49.5,2.5,78.0,F,Fail,Fail,1
STD001323,Sana Sharma,BBA - Marketing,59.8,61.9,0.5,94.0,F,Fail,Fail,1
STD001338,Sneha Rao,BTech - EEE,82.8,76.9,1.8,45.0,F,Fail,Fail,1
STD001345,Aarav Rathod,BSc - Biology,72.6,89.9,1.6,43.0,F,Fail,Fail,1
STD001349,Karthik Reddy,BTech - Civil,77.2,61.5,0.4,44.0,F,Fail,Fail,1
STD001368,Vikram Shetty,BBA - Marketing,72.2,76.2,2.7,43.0,F,Fail,Fail,1
STD001373,Yash Khan,BSc - Mathematics,56.6,70.6,1.1,58.0,F,Fail,Fail,1
STD001379,Raghav Rathod,BBA - Marketing,69.0,90.6,0.0,47.0,F,Fail,Fail,1
STD001398,Ananya Mishra,BCA - Data Science,49.0,86.2,1.1,44.0,F,Fail,Fail,1
STD001399,Jahnavi Das,BTech - CSE,58.3,53.8,3.4,70.0,F,Fail,Fail,1
STD001404,Priya Mishra,BTech - EEE,52.6,94.1,3.1,61.0,F,Fail,Fail,1
STD001416,Rohan Chopra,BBA - Human Resource,59.8,75.5,0.8,90.0,F,Fail,Fail,1
STD001430,Raghav Reddy,BTech - CSE,56.7,76.8,2.5,97.0,F,Fail,Fail,1
STD001461,Rohan Gupta,BCA - Data Science,62.7,66.9,1.1,43.0,F,Fail,Fail,1
STD001493,Anjali Rathod,BCA - Data Science,56.0,64.8,4.5,79.0,F,Fail,Fail,1
STD001503,Raghav Rao,BSc - Chemistry,57.3,67.5,2.8,72.0,F,Fail,Fail,1
STD001522,Diya Sharma,BTech - Mechanical,59.7,86.2,1.3,42.0,F,Fail,Fail,1
STD001529,Anjali Mishra,BTech - Civil,51.1,84.9,4.7,74.0,F,Fail,Fail,1
STD001534,Rahul Nair,BTech - EEE,51.6,46.0,2.7,87.0,F,Fail,Fail,1
STD001535,Neha Reddy,BBA - Finance,59.6,70.9,2.5,98.0,F,Fail,Fail,1
STD001536,Rohan Rathod,BTech - EEE,68.9,93.5,2.8,81.0,B,Pass,Fail,1
STD001537,Amit Sharma,BSc - Computer Science,85.8,98.3,1.7,45.0,F,Fail,Fail,1
STD001571,Rohan Sharma,BCA - Data Science,40.8,92.5,1.9,97.0,F,Fail,Fail,1
STD001596,Rahul Naidu,BCA - Data Science,59.3,75.1,3.0,85.0,F,Fail,Fail,1
STD001599,Amrita Jain,BA - Psychology,57.1,78.8,1.9,66.0,F,Fail,Fail,1
STD001600,Harsh Iyer,BTech - EEE,52.3,48.2,2.3,43.0,F,Fail,Fail,1
STD001615,Sahil Yadav,BSc - Mathematics,87.5,63.1,0.0,42.0,F,Fail,Fail,1
STD001617,Yash Reddy,BBA - Finance,76.7,62.7,0.6,44.0,F,Fail,Fail,1
STD001619,Jahnavi Reddy,BTech - CSE,64.2,49.4,4.3,44.0,F,Fail,Fail,1
STD001621,Neha Das,BTech - EEE,86.7,66.7,1.9,41.0,F,Fail,Fail,1
STD001652,Ritika Patel,BTech - CSE,67.0,83.6,1.7,43.0,F,Fail,Fail,1
STD001668,Sanjay Shetty,BTech - ECE,70.9,77.3,1.7,49.0,F,Fail,Fail,1
STD001682,Aditya Verma,BCA - Cyber Security,73.4,79.8,0.6,48.0,F,Fail,Fail,1
STD001698,Neha Naidu,BBA - Marketing,73.1,74.1,2.1,45.0,F,Fail,Fail,1
STD001699,Ananya Shetty,BTech - EEE,67.8,88.8,0.6,52.0,F,Fail,Fail,1
STD001701,Sahil Mishra,BTech - IT,83.6,86.9,0.4,43.0,F,Fail,Fail,1
STD001707,Jahnavi Iyer,BA - Psychology,87.3,58.9,1.4,42.0,F,Fail,Fail,1
STD001731,Vivaan Chopra,BTech - IT,80.0,91.8,2.2,42.0,F,Fail,Fail,1
STD001734,Jahnavi Singh,BA - Economics,97.7,79.4,2.7,40.0,F,Fail,Fail,1
STD001751,Aditya Sharma,BCA - Data Science,65.9,74.2,3.1,47.0,F,Fail,Fail,1
STD001754,Vikram Reddy,BTech - CSE,57.8,54.2,1.7,68.0,F,Fail,Fail,1
STD001762,Varun Chopra,BSc - Biology,64.0,78.0,0.0,51.0,F,Fail,Fail,1
STD001773,Raghav Nair,BTech - EEE,58.1,59.3,1.3,94.0,F,Fail,Fail,1
STD001774,Diya Yadav,BSc - Biology,56.9,45.3,0.4,88.0,F,Fail,Fail,1
STD001779,Isha Rathod,BTech - CSE,59.5,65.9,2.0,70.0,F,Fail,Fail,1
STD001781,Raghav Sharma,BSc - Computer Science,59.6,51.9,3.3,69.0,F,Fail,Fail,1
STD001796,Aarav Singh,BSc - Mathematics,77.8,68.7,3.6,46.0,F,Fail,Fail,1
STD001800,Priya Mishra,BSc - Chemistry,79.3,75.2,0.4,48.0,F,Fail,Fail,1
STD001801,Pooja Mishra,BBA - Human Resource,63.4,62.3,2.5,51.0,F,Fail,Fail,1
STD001811,Anjali Nair,BTech - IT,50.6,78.0,2.7,46.0,F,Fail,Fail,1
STD001816,Isha Singh,BTech - ECE,81.6,66.0,2.5,47.0,F,Fail,Fail,1
STD001825,Vikram Verma,BTech - Civil,62.5,86.1,2.4,40.0,F,Fail,Fail,1
STD001840,Meera Iyer,BTech - IT,73.9,72.7,0.0,42.0,F,Fail,Fail,1
STD001853,Aarav Iyer,BCA - Cyber Security,55.4,73.1,1.4,91.0,F,Fail,Fail,1
STD001866,Sanjay Gupta,BSc - Chemistry,73.3,100.0,2.2,41.0,F,Fail,Fail,1
STD001873,Shreya Sharma,BTech - EEE,74.6,96.0,0.3,40.0,F,Fail,Fail,1
STD001875,Arjun Yadav,BTech - ECE,55.5,54.2,0.7,98.0,F,Fail,Fail,1
STD001877,Diya Nair,BCA - Data Science,57.4,72.2,1.5,79.0,F,Fail,Fail,1
STD001880,Ananya Chopra,BTech - ECE,94.0,48.9,2.5,43.0,F,Fail,Fail,1
STD001881,Amit Iyer,BTech - CSE,55.5,78.1,2.2,67.0,F,Fail,Fail,1
STD001917,Raghav Shetty,BTech - IT,100.0,68.2,2.2,41.0,F,Fail,Fail,1
STD001922,Jahnavi Khan,BSc - Mathematics,71.9,70.6,0.8,47.0,F,Fail,Fail,1
STD001929,Isha Rathod,BSc - Computer Science,56.6,68.9,3.7,71.0,F,Fail,Fail,1
STD001932,Isha Mishra,BSc - Computer Science,97.8,78.7,1.0,42.0,F,Fail,Fail,1
STD001934,Diya Rao,BSc - Physics,62.0,77.9,4.0,56.0,F,Fail,Fail,1
STD001943,Vivaan Rao,BTech - CSE,99.5,72.4,1.2,43.0,F,Fail,Fail,1
STD001948,Kiran Shetty,BCA - Cyber Security,83.1,71.1,2.9,41.0,F,Fail,Fail,1
STD001954,Pooja Khan,BTech - CSE,75.4,74.6,4.4,50.0,F,Fail,Fail,1
STD001967,Ananya Gupta,BSc - Chemistry,95.3,66.0,4.1,42.0,F,Fail,Fail,1
STD001976,Vivaan Rathod,BSc - Biology,80.6,90.7,0.6,43.0,F,Fail,Fail,1
STD001977,Kiran Gupta,BTech - IT,56.8,74.1,0.6,40.0,F,Fail,Fail,1
STD001987,Karthik Bose,BTech - EEE,75.0,69.4,0.5,45.0,F,Fail,Fail,1
STD001989,Vivaan Das,BCA - Data Science,73.7,79.0,2.8,41.0,F,Fail,Fail,1
STD001991,Varun Gupta,BTech - ECE,100.0,68.4,4.7,40.0,F,Fail,Fail,1
STD002001,Harsh Bose,BBA - Finance,58.9,53.3,0.0,73.0,F,Fail,Fail,1
STD002024,Aditya Shetty,BBA - Human Resource,53.8,73.6,0.0,65.0,F,Fail,Fail,1
STD002026,Meera Sharma,BTech - EEE,70.5,59.3,3.4,40.0,F,Fail,Fail,1
STD002030,Harsh Chopra,BCA - Software Engineering,54.5,65.4,1.1,99.0,F,Fail,Fail,1
STD002040,Kiran Mishra,BSc - Physics,58.5,39.8,1.9,61.0,F,Fail,Fail,1
STD002043,Ananya Yadav,BCA - Data Science,73.2,79.7,1.5,50.0,F,Fail,Fail,1
STD002048,Sanjay Naidu,BCA - Cyber Security,74.7,86.5,3.5,50.0,F,Fail,Fail,1
STD002049,Meera Patel,BCA - Software Engineering,58.0,71.5,2.6,96.0,F,Fail,Fail,1
STD002051,Raghav Yadav,BCA - Data Science,82.8,79.4,2.8,42.0,F,Fail,Fail,1
STD002063,Amit Khan,BSc - Computer Science,53.1,83.7,1.5,81.0,F,Fail,Fail,1
STD002068,Yash Rathod,BA - English Literature,54.8,46.8,1.8,52.0,F,Fail,Fail,1
STD002100,Pooja Gupta,BSc - Physics,53.2,62.9,1.2,74.0,F,Fail,Fail,1
STD002106,Yash Naidu,BSc - Computer Science,77.7,95.7,3.2,45.0,F,Fail,Fail,1
STD002120,Sahil Verma,BTech - IT,59.6,67.7,0.0,63.0,F,Fail,Fail,1
STD002144,Arjun Naidu,BTech - EEE,54.4,100.0,4.2,53.0,F,Fail,Fail,1
STD002157,Amrita Menon,BTech - EEE,61.4,46.6,2.3,42.0,F,Fail,Fail,1
STD002163,Amrita Jain,BA - Psychology,60.7,100.0,2.4,48.0,F,Fail,Fail,1
STD002167,Ritika Nair,BSc - Computer Science,100.0,88.4,2.6,43.0,F,Fail,Fail,1
STD002168,Sana Menon,BTech - ECE,56.9,51.7,1.4,79.0,F,Fail,Fail,1
STD002174,Anjali Iyer,BTech - CSE,69.9,77.7,2.7,48.0,F,Fail,Fail,1
STD002176,Sana Shetty,BSc - Mathematics,57.7,100.0,2.6,49.0,F,Fail,Fail,1
STD002200,Amrita Verma,BTech - CSE,67.7,83.5,0.6,53.0,F,Fail,Fail,1
STD002210,Amrita Mishra,BTech - EEE,56.6,71.7,2.4,85.0,F,Fail,Fail,1
STD002223,Rahul Gupta,BTech - IT,89.8,64.0,1.1,44.0,F,Fail,Fail,1
STD002228,Ritika Menon,BBA - Finance,70.5,90.4,3.3,51.0,F,Fail,Fail,1
STD002233,Neha Menon,BTech - CSE,71.5,71.8,2.5,45.0,F,Fail,Fail,1
STD002238,Aditya Jain,BA - Economics,85.5,33.3,3.5,45.0,F,Fail,Fail,1
STD002241,Ananya Sharma,BTech - ECE,55.7,86.9,2.1,100.0,F,Fail,Fail,1
STD002255,Vikram Reddy,BSc - Computer Science,93.4,73.1,0.7,42.0,F,Fail,Fail,1
STD002256,Raghav Das,BTech - Mechanical,82.2,83.1,0.8,45.0,F,Fail,Fail,1
STD002259,Sneha Chopra,BTech - IT,59.6,69.5,1.4,51.0,F,Fail,Fail,1
STD002268,Ritika Reddy,BTech - Civil,68.8,96.1,3.2,48.0,F,Fail,Fail,1
STD002279,Diya Gupta,BTech - IT,41.9,84.8,2.1,100.0,F,Fail,Fail,1
STD002285,Shreya Nair,BTech - CSE,55.2,72.5,2.1,59.0,F,Fail,Fail,1
STD002288,Amit Rathod,BSc - Physics,61.3,76.5,1.6,55.0,F,Fail,Fail,1
STD002291,Aarav Khan,BBA - Marketing,77.9,83.5,3.2,43.0,F,Fail,Fail,1
STD002292,Rohan Rao,BTech - Mechanical,91.1,76.6,3.1,40.0,F,Fail,Fail,1
STD002318,Amit Rathod,BTech - IT,55.6,89.5,0.9,59.0,F,Fail,Fail,1
STD002342,Priya Verma,BBA - Human Resource,42.6,45.0,1.8,98.0,F,Fail,Fail,1
STD002344,Amit Bose,BSc - Physics,74.2,56.8,3.3,40.0,F,Fail,Fail,1
STD002350,Ritika Shetty,BSc - Mathematics,56.8,76.5,3.4,68.0,F,Fail,Fail,1
STD002354,Aarav Singh,BTech - CSE,72.7,72.0,2.5,50.0,F,Fail,Fail,1
STD002357,Neha Yadav,BBA - Human Resource,80.3,81.6,0.3,44.0,F,Fail,Fail,1
STD002358,Sanjay Mishra,BBA - Finance,59.1,75.0,4.2,57.0,F,Fail,Fail,1
STD002375,Meera Menon,BA - Economics,58.7,70.8,2.9,69.0,F,Fail,Fail,1
STD002387,Harsh Chopra,BA - Economics,73.6,85.4,1.4,41.0,F,Fail,Fail,1
STD002389,Ritika Nair,BTech - Mechanical,58.7,72.7,1.9,87.0,F,Fail,Fail,1
STD002395,Yash Khan,BTech - Mechanical,79.3,61.5,3.7,46.0,F,Fail,Fail,1
STD002398,Meera Bose,BSc - Biology,57.4,84.1,2.6,41.0,F,Fail,Fail,1
STD002429,Pooja Singh,BCA - Cyber Security,90.0,77.5,0.6,41.0,F,Fail,Fail,1
STD002437,Shreya Rathod,BTech - CSE,100.0,72.0,2.4,42.0,F,Fail,Fail,1
STD002439,Neha Yadav,BTech - ECE,85.2,61.4,3.1,40.0,F,Fail,Fail,1
